"5";"Exérèse du thymus vestigial, par thoracotomie"
"AEGB001";"Ablation d’électrode de stimulation de la moelle épinière, par voie transcutanée"
"AELA001";"Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par abord direct"
"AELB001";"Implantation d’une électrode de stimulation de la moelle épinière à visée thérapeutique par voie transcutanée, avec implantation souscutanée d'un générateur de stimulation neurologique"
"AELB002";"Implantation d’une électrode de stimulation de la moelle épinière à visée thérapeutique, par voie transcutanée"
"AEQM001";"Échographie transcutanée de la moelle épinière"
"AFCA002";"Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien, par abord direct"
"AFCA003";"Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l'espace subarachnoïdien rachidien"
"AFCA004";"Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien"
"AFFA005";"Exérèse de tumeur épidurale avec ostéosynthèse vertébrale, par abord postérieur"
"AFFA007";"Exérèse de tumeur intradurale extraspinale, par abord postérieur ou postérolatéral"
"AFFA008";"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord antérieur ou antérolatéral"
"AFGA001";"Ablation d'un système diffuseur implanté et du cathéter péridural [épidural] ou intrathécal spinal"
"AFHB001";"Ponction de liquide cérébrospinal, par voie sousoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]"
"AFHB002";"Ponction de liquide cérébrospinal, par voie lombaire transcutanée [Ponction lombaire]"
"AFJA001";"Évacuation d'hématome péridural [épidural] rachidien, par abord postérieur"
"AFJA004";"Évacuation d'hématome péridural [épidural] rachidien postopératoire"
"AFJB002";"Évacuation de liquide cérébrospinal, par voie transcutanée lombaire"
"AFLA001";"Pose d'une pompe souscutanée à infusion continue, avec cathéter intrathécal spinal"
"AFLA003";"Pose d'un cathéter intrathécal ou intrakystique spinal, avec pose d'un système diffuseur implantable souscutané"
"AFLB001";"Injection péridurale [épidurale] de sang autologue [Blood patch]"
"AFLB003";"Séance d'injection intrathécale d'agent pharmacologique anticancéreux, par voie transcutanée"
"AFLB004";"Pose d'un cathéter intrathécal spinal par voie lombaire transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques"
"AFLB006";"Injection intrathécale d'agent pharmacologique à visée thérapeutique, par voie transcutanée sans guidage"
"AFLB007";"Injection péridurale [épidurale] d'agent pharmacologique à visée thérapeutique, sans guidage"
"AFLB008";"Pose d'un cathéter péridural [épidural], par voie transcutanée"
"AFLB010";"Anesthésie rachidienne au cours d'un accouchement par voie basse"
"AFLF006";"Administration péridurale [épidurale] d'agent pharmacologique au long cours par un dispositif implanté, par 24 heures"
"AFLH001";"Injection péridurale [épidurale] d'agent pharmacologique à visée thérapeutique, par voie transcutanée avec guidage radiologique"
"AFPA001";"Mise à plat de lésion infectieuse péridurale rachidienne et/ou paravertébrale postopératoire [sepsis]"
"AFSA001";"Fermeture d'un spina bifida avec myéloméningocèle, par abord postérieur"
"AFSA003";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire spinale"
"AGLB001";"Injection péridurale [épidurale] de substance à visée antalgique, avec évaluation diagnostique et pronostique"
"AGMA001";"Réparation de perte de substance durale de plus de 10cm² par greffe ou substitut au cours d'une intervention intracrânienne ou intrarachidienne"
"AGQP004";"Surveillance peropératoire des potentiels évoqués moteurs, sensoriels ou somesthésiques, pendant plus de 4 heures"
"AGQP005";"Surveillance peropératoire des potentiels évoqués moteurs, sensoriels ou somesthésiques pendant 2 à 4 heures"
"AHCA003";"Suture de plaie de nerf à la cheville ou au pied, par abord direct"
"AHCA006";"Suture de plaies du nerf médian et du nerf ulnaire au poignet, par abord direct"
"AHCA009";"Suture de plaie du nerf radial au bras ou au coude, par abord direct"
"AHCA012";"Suture de plaie du nerf médian ou du nerf ulnaire au poignet avec suture de plaie de l'artère radiale ou de l'artère ulnaire, par abord direct"
"AHCA013";"Suture de plaies de deux nerfs digitaux palmaires d'un rayon de la main, par abord direct"
"AHCA015";"Suture de plaies d’un nerf digital palmaire et d’une artère digitale palmaire d'un rayon de la main, par abord direct"
"AHCA018";"Suture de plaie du nerf médian ou du nerf ulnaire au poignet, par abord direct"
"AHCA020";"Suture, autogreffe non pédiculée et/ou neurotisation du plexus brachial, par abords supraclaviculaire et infraclaviculaire"
"AHCA023";"Suture de plaie d’un nerf digital palmaire, par abord direct"
"AHEA004";"Autogreffe du nerf médian à l'avant-bras, par abord direct"
"AHEA009";"Autogreffe du nerf tibial [sciatique poplité interne] ou du nerf péronier [sciatique poplité externe], par abord direct"
"AHEA010";"Autogreffe du nerf circonflexe, par abord direct"
"AHEA014";"Autogreffe du nerf radial, par abord direct"
"AHEA016";"Autogreffe nerveuse à la main, par abord direct"
"AHEA017";"Autogreffe du nerf sciatique à la fesse, par abord direct"
"AHFA001";"Exérèse de tumeur d'un nerf spinal avec rétablissement de continuité, par abord direct"
"AHFA002";"Exérèse de tumeur nerveuse cervicale superficielle, par cervicotomie"
"AHFA004";"Exérèse de tumeur d'un nerf spinal sans rétablissement de continuité, par abord direct"
"AHFA008";"Exérèse de tumeur du plexus brachial ou du plexus lombosacré avec réparation immédiate, par abord direct"
"AHFA011";"Exérèse de tumeur nerveuse cervicale profonde, par cervicotomie et thoracotomie"
"AHHA002";"Biopsie neuromusculaire, par abord direct"
"AHLB002";"Infiltration thérapeutique d'un nerf superficiel d'un membre, avec stimulodétection électrique"
"AHLB003";"Infiltration thérapeutique unilatérale ou bilatérale du nerf grand occipital [grand nerf occipital d'Arnold]"
"AHLB007";"Infiltration anesthésique d'un tronc nerveux superficiel sans stimulodétection électrique, avec évaluation diagnostique et pronostique"
"AHLB014";"Infiltration thérapeutique d'un nerf superficiel d'un membre, sans stimulodétection électrique"
"AHLB016";"Infiltration thérapeutique du plexus brachial"
"AHLB017";"Infiltration anesthésique d'un tronc nerveux superficiel avec stimulodétection électrique, avec évaluation diagnostique et pronostique"
"AHLH001";"Infiltration anesthésique d'un nerf spinal à son émergence rachidienne avec guidage radiologique, avec évaluation diagnostique et pronostique"
"AHLH002";"Infiltration thérapeutique du plexus lombosacré, avec guidage radiologique"
"AHLH007";"Infiltration thérapeutique d'un nerf spinal à son émergence rachidienne, avec guidage scanographique"
"AHLH008";"Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec guidage radiologique, avec évaluation diagnostique et pronostique"
"AHLH009";"Infiltration anesthésique d'un tronc nerveux profond avec guidage radiologique, avec évaluation diagnostique et pronostique"
"AHLH011";"Infiltration anesthésique de la branche dorsale d'un nerf spinal avec guidage radiologique, avec évaluation diagnostique et pronostique"
"AHLH014";"Infiltration thérapeutique d'un nerf spinal à son émergence rachidienne, avec guidage radiologique"
"AHLH015";"Infiltration thérapeutique d'un nerf profond dans un canal ostéofibreux, avec guidage scanographique"
"AHLH016";"Infiltration anesthésique du plexus lombosacré avec guidage radiologique, avec évaluation diagnostique et pronostique"
"AHNH001";"Destruction du rameau dorsal d'un nerf spinal, par voie transcutanée avec guidage radiologique"
"AHPA001";"Libération de nerf à la cheville et au pied, en dehors du tunnel tarsien"
"AHPA004";"Libération du plexus brachial avec scalénotomie, par abord supraclaviculaire"
"AHPA006";"Libération du plexus brachial, par abords supraclaviculaire et infraclaviculaire"
"AHPA007";"Neurotomie ou neurectomie intrafasciculaire ou extrafasciculaire des troncs ou des rameaux moteurs au membre supérieur, pour hyponeurotisation"
"AHPA008";"Libération du nerf tibial [sciatique poplité interne] à la jambe et/ou au tunnel tarsien, par abord direct"
"AHPA009";"Libération du nerf médian au canal carpien, par abord direct"
"AHPA010";"Libération du nerf péronier [sciatique poplité externe] au genou, par abord direct"
"AHPA011";"Libération ou résection d'un nerf digital plantaire, par abord direct"
"AHPA012";"Libération du nerf supraclaviculaire et/ou de ses branches, par abord direct"
"AHPA014";"Libération de nerf de la paroi du tronc, par abord direct"
"AHPA015";"Neurotomie ou neurectomie intrafasciculaire ou extrafasciculaire des troncs ou des rameaux moteurs au membre inférieur, pour hyponeurotisation"
"AHPA017";"Libération du nerf fémoral [crural], du nerf sciatique ou de leurs branches à la racine du membre inférieur ou à la cuisse, par abord direct"
"AHPA019";"Section, résection ou destruction de nerf spinal superficiel, par abord direct"
"AHPA021";"Libération du nerf ulnaire au poignet et/ou à la main, par abord direct"
"AHPA022";"Libération du nerf ulnaire au coude, par abord direct"
"AHPA023";"Libération du nerf radial au coude, par abord direct"
"AHPA024";"Libération de nerf spinal superficiel des membres, par abord direct"
"AHPA026";"Dénervation complète du poignet, par abord direct"
"AHPC001";"Libération du nerf médian au canal carpien, par vidéochirurgie"
"AHQB007";"Électromyographie de stimulodétection peropératoire, pendant 2 à 4 heures"
"AHQB009";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de plus de 4 nerfs"
"AHQB010";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de plus de 4 nerfs, sans étude de la conduction proximale"
"AHQB011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs"
"AHQB012";"Électromyographie de stimulodétection peropératoire, pendant moins de 2 heures"
"AHQB013";"Électromyographie de plus de 6 muscles striés au repos et à l'effort, par électrode aiguille"
"AHQB016";"Électromyographie analytique du périnée, avec étude des latences des réflexes sacrés, de la vitesse de conduction sensitive du nerf dorsal du pénis, des potentiels évoqués somesthésiques cérébraux et des réponses cutanées sympathiques périnéales"
"AHQB017";"Électromyographie de stimulodétection peropératoire, pendant plus de 4 heures"
"AHQB022";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de plus de 4 nerfs, avec étude de la conduction proximale sur au moins 4 nerfs"
"AHQB023";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs"
"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille"
"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille"
"AHQB026";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille"
"AHQB027";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille"
"AHQB029";"Mesure des réflexes H et/ou T"
"AHQH001";"Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]"
"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale, par électrode de surface"
"AHQP004";"Enregistrement des potentiels évoqués moteurs par stimulation corticale et/ou spinale"
"AJFC002";"Sympathectomie cervicothoracique ou thoracique, par thoracoscopie"
"AJQP001";"Mesure des réponses cutanées sympathiques par électrode de surface"
"ALRP005";"Test d'évaluation d'un déficit cognitif"
"AMQP004";"Hypnographie de 8 à 12 heures, avec enregistrement vidéo"
"AMQP006";"Hypnographie de 12 à 24 heures, avec enregistrement vidéo"
"AMQP007";"Hypnographie de 8 à 12 heures, sans enregistrement vidéo"
"AMQP008";"Polysomnographie nocturne, sans enregistrement vidéo"
"AMQP009";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives"
"ANMP001";"Initialisation et surveillance d'une analgésie contrôlée par le patient [ACP]"
"ANQP004";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation d'au moins 2 nerfs des membres supérieurs ou inférieurs"
"ANQP006";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs des membres supérieurs et inférieurs"
"AZMP002";"Réglage ou reprogrammation transcutané d'un générateur souscutané de stimulation neurologique"
"AZQP002";"Enregistrement de potentiels évoqués, au lit du malade"
"BACA003";"Suture partielle ou totale des bords libres des paupières supérieure et inférieure"
"BAEA001";"Repositionnement du bord libre de la paupière, sans autogreffe ni lambeau"
"BAEA002";"Repositionnement du bord libre de la paupière, avec autogreffe ou lambeau"
"BAFA005";"Exérèse non transfixiante de lésions multiples homolatérales de paupière"
"BAFA006";"Exérèse non transfixiante d'une lésion d'une paupière"
"BAFA008";"Résection bilatérale cutanée, musculaire et/ou graisseuse au niveau des paupières supérieures, par abord cutané"
"BAFA011";"Résection bilatérale cutanée, musculaire et/ou graisseuse au niveau des paupières inférieures, par abord cutané"
"BAFA013";"Exérèse de chalazion"
"BAFA015";"Résection cutanée, musculaire et/ou graisseuse au niveau d'une paupière, par abord cutané"
"BANP001";"Destruction de lésions multiples unilatérales ou bilatérales des paupières par laser"
"BBCA003";"Dacryo-cysto-rhinostomie [DCR], par abord facial"
"BBLD003";"Sondage des voies lacrymales"
"BCCA001";"Suture de plaie de la conjonctive"
"BCFA006";"Exérèse de ptérygion récidivant, sans autogreffe"
"BCFA008";"Exérèse de lésion de la conjonctive, sans autogreffe"
"BCLA001";"Autohémothérapie ou libération d'adhérence sousconjonctivale après intervention fistulisante"
"BCPA001";"Incision de la conjonctive"
"BCPA005";"Désinsertion de la conjonctive oculaire au limbe [Péritomie], sans autogreffe"
"BDCA003";"Suture d'une plaie linéaire non transfixiante de la cornée"
"BDCA004";"Suture d'une plaie linéaire transfixiante de la cornée"
"BDFP003";"Kératomileusis in situ au laser excimère"
"BDJP001";"Irrigation continue de la cornée et/ou de la conjonctive"
"BDMA003";"Kératoplastie transfixiante [Transplantation cornéenne transfixiante], avec extraction extracapsulaire du cristallin"
"BDMA005";"Kératoplastie lamellaire avec conjonctivoplastie [Transplantation cornéoconjonctivale]"
"BDMA006";"Conjonctivokératoplastie par greffe de membrane amniotique humaine"
"BDMA007";"Kératoplastie transfixiante [Transplantation cornéenne transfixiante]"
"BDNP001";"Destruction de lésion superficielle de la cornée par moyen physique"
"BEFA006";"Sclérectomie profonde non transfixiante ou sclérokératectomie profonde"
"BEFA008";"Trabéculectomie [Sclérectomie transfixiante]"
"BEJB002";"Évacuation de collection de la chambre antérieure de l'oeil, par voie transsclérale, sans irrigation-aspiration automatisée"
"BELB001";"Injection de substance inerte ou organique dans la chambre antérieure de l'oeil, par voie transsclérale [Reformation de la chambre antérieure]"
"BEMA002";"Plastie de la pupille ou de l'iris, sans laser"
"BENA001";"Destruction de lésion de l'iris ou du corps ciliaire"
"BENA002";"Destruction partielle du corps ciliaire"
"BEPA004";"Iridotomie ou iridectomie périphérique ou sectorielle sans laser"
"BFEA001";"Repositionnement de cristallin artificiel ou de lentille intraoculaire"
"BFGA002";"Extraction extracapsulaire manuelle du cristallin, avec implantation de cristallin artificiel dans la chambre postérieure"
"BFGA003";"Extraction extracapsulaire manuelle du cristallin, sans implantation de cristallin artificiel"
"BFGA004";"Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure"
"BFGA005";"Ablation de matériel implanté dans le segment antérieur de l'oeil"
"BFGA006";"Extraction intracapsulaire ou extracapsulaire du cristallin, avec implantation de cristallin artificiel dans la chambre antérieure, en cas d'impossibilité d'implantation dans la chambre postérieure"
"BFGA008";"Extraction extracapsulaire du cristallin par phakoémulsification sans implantation de cristallin artificiel"
"BGBA002";"Tamponnement intraoculaire provisoire par utilisation peropératoire de perfluorocarbones"
"BGDA001";"Rétinopexie par coagulation par cryoapplication ou par laser extraoculaire avec indentation sclérale sur plus d'un quadrant, avec tamponnement interne par gaz"
"BGDA002";"Rétinopexie par coagulation par cryoapplication ou par laser extraoculaire avec indentation sclérale sur plus d'un quadrant, sans tamponnement"
"BGDA003";"Rétinopexie par coagulation par cryoapplication ou par laser extraoculaire avec indentation sclérale limitée à un quadrant, avec tamponnement interne par gaz"
"BGDA006";"Rétinopexie par coagulation par cryoapplication ou par laser extraoculaire avec indentation sclérale sur 360° [cerclage], avec tamponnement interne par gaz"
"BGFA001";"Vitrectomie par sclérotomie postérieure, sans coagulation de la rétine"
"BGFA008";"Vitrectomie mécanique complémentaire, par abord antérieur"
"BGFA010";"Vitrectomie par sclérotomie postérieure, avec coagulation de la rétine et tamponnement interne provisoire"
"BGGA002";"Extraction secondaire de corps étranger du segment postérieur de l'oeil sans électroaimant"
"BGGA003";"Ablation de matériel implanté ou de matériel d'indentation, extériorisé, du segment postérieur de l'oeil"
"BGGA004";"Ablation de matériel implanté ou de matériel d'indentation, non extériorisé, du segment postérieur de l'oeil"
"BGGA005";"Ablation d'huile de silicone intravitréenne"
"BGJA002";"Évacuation de liquide sousrétinien, par rétinotomie"
"BGLB001";"Injection d'agent pharmacologique dans le vitré"
"BGMA001";"Intervention rétinovitréenne associant une indentation et au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation au laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides"
"BGMA002";"Intervention rétinovitréenne associant au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation au laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides, rétinectomie"
"BGNP002";"Séance de destruction de lésion choriorétinienne par cryoapplication transsclérale"
"BGPA001";"Rétinotomie relaxante et/ou dissection de membrane rétrorétinienne"
"BGPA002";"Dissection de la membrane épirétinienne et/ou de la membrane vitrée [hyaloïde]"
"BGQP004";"Examen du fond d'oeil par ophtalmoscopie indirecte à image inversée, chez le prématuré ou le nouveau-né"
"BHGA001";"Énucléation du bulbe [globe] oculaire sans insertion d'implant ni autogreffe"
"BHGA006";"Éviscération du bulbe [globe] oculaire, avec comblement de la cavité sclérale"
"BJMA002";"Renforcement, affaiblissement ou déplacement de l'insertion d'un muscle oculomoteur droit"
"BJMA003";"Renforcement, affaiblissement ou déplacement bilatéral de l'insertion de deux muscles oculomoteurs"
"BKGA003";"Extraction de corps étranger de l'orbite sans électroaimant, avec orbitotomie osseuse"
"BKHA002";"Biopsie de lésion de l'orbite, par abord conjonctivopalpébral"
"BKMA001";"Reconstruction totale de la cavité orbitaire par autogreffe"
"BLQP001";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux"
"BLQP009";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste"
"BZQM001";"Échographie de l'oeil et/ou de l'orbite en mode B"
"CAFA002";"Exérèse partielle non transfixiante de l'auricule"
"CAFA005";"Exérèse partielle transfixiante de l'auricule"
"CAFA009";"Exérèse de lésion osseuse oblitérante du méat acoustique externe"
"CAJA002";"Parage et/ou suture de plaie de l'auricule"
"CAMA011";"Plastie du pore acoustique externe cartilagineux [Méatoplastie]"
"CAMA013";"Plastie bilatérale d'oreille décollée"
"CBFA002";"Exérèse de cholestéatome avec tympanoplastie en technique fermée et ossiculoplastie"
"CBFA005";"Exérèse de cholestéatome limitée au cavum tympanique, sans exploration antroatticale"
"CBFA006";"Exérèse de cholestéatome avec tympanoplastie en technique fermée"
"CBFA007";"Exérèse de cholestéatome avec tympanoplastie en technique ouverte"
"CBLA002";"Pose d'un appareilllage auditif ostéo-intégré dans l'oreille moyenne, en un temps"
"CBLD001";"Pose bilatérale d'aérateur transtympanique"
"CBLD003";"Pose unilatérale d'aérateur transtympanique"
"CBMA001";"Ossiculoplastie"
"CBMA002";"Tympanoplastie secondaire sur technique ouverte, sans reconstruction de cadre"
"CBMA005";"Myringoplastie avec ossiculoplastie, sans exploration mastoïdoatticale"
"CBMA007";"Myringoplastie avec ossiculoplastie et exploration mastoïdoatticale"
"CBMA008";"Myringoplastie sans décollement du lambeau tympanoméatal"
"CBMA009";"Myringoplastie avec décollement du lambeau tympanoméatal, sans exploration mastoïdoatticale"
"CBMD002";"Tympanoplastie secondaire en technique fermée"
"CBMD003";"Tympanoplastie secondaire en technique fermée, avec ossiculoplastie"
"CBPA003";"Platinotomie avec laser, avec rétablissement de l'effet columellaire"
"CBQA001";"Exploration du cavum tympanique [caisse du tympan], avec décollement du lambeau tympanoméatal"
"CBQE001";"Examen unilatéral ou bilatéral de l'oreille externe et/ou moyenne, sous microscope ou par endoscopie méatale"
"CCLA002";"Pose d'un implant auditif à électrodes intracochléaires"
"CCPA003";"Décompression ou dérivation du sac endolymphatique"
